,station_id,name,latitude,longitude
130,13037,"286    Clinton St & Tilden St
Name: start_station_name, dtype: object","286    41.875872
Name: start_lat, dtype: float64","286   -87.640742
Name: start_lng, dtype: float64"
131,20.0,"288    Damen Ave & Wabansia Ave
Name: start_station_name, dtype: object","288    41.91
Name: start_lat, dtype: float64","288   -87.68
Name: start_lng, dtype: float64"
132,13068,"290    Western Ave & Winnebago Ave
Name: start_station_name, dtype: object","290    41.91552
Name: start_lat, dtype: float64","290   -87.687022
Name: start_lng, dtype: float64"
133,SL-012,"291    Wabash Ave & 16th St
Name: start_station_name, dtype: object","291    41.860384
Name: start_lat, dtype: float64","291   -87.625813
Name: start_lng, dtype: float64"
134,KA1503000005,"294    Wentworth Ave & 35th St
Name: start_station_name, dtype: object","294    41.830777
Name: start_lat, dtype: float64","294   -87.632504
Name: start_lng, dtype: float64"
135,TA1309000064,"304    Wolcott Ave & Polk St
Name: start_station_name, dtype: object","304    41.871262
Name: start_lat, dtype: float64","304   -87.673688
Name: start_lng, dtype: float64"
136,13285,"305    Wood St & Taylor St (Temp)
Name: start_station_name, dtype: object","305    41.869265
Name: start_lat, dtype: float64","305   -87.673731
Name: start_lng, dtype: float64"
137,18017,"309    Central Park Ave & Bloomingdale Ave
Name: start_station_name, dtype: object","309    41.914152
Name: start_lat, dtype: float64","309   -87.716736
Name: start_lng, dtype: float64"
138,13249,"314    Ashland Ave & Belle Plaine Ave
Name: start_station_name, dtype: object","314    41.956095
Name: start_lat, dtype: float64","314   -87.668953
Name: start_lng, dtype: float64"
139,15621,"316    Albany Ave & Montrose Ave
Name: start_station_name, dtype: object","316    41.961041
Name: start_lat, dtype: float64","316   -87.705866
Name: start_lng, dtype: float64"
140,TA1309000012,"318    Damen Ave & Sunnyside Ave
Name: start_station_name, dtype: object","318    41.963267
Name: start_lat, dtype: float64","318   -87.679296
Name: start_lng, dtype: float64"
141,13345,"322    Calumet Ave & 35th St
Name: start_station_name, dtype: object","322    41.831379
Name: start_lat, dtype: float64","322   -87.618034
Name: start_lng, dtype: float64"
142,13266,"325    Stave St & Armitage Ave
Name: start_station_name, dtype: object","325    41.917757
Name: start_lat, dtype: float64","325   -87.69144
Name: start_lng, dtype: float64"
143,TA1307000001,"328    Greenview Ave & Fullerton Ave
Name: start_station_name, dtype: object","328    41.925446
Name: start_lat, dtype: float64","328   -87.665824
Name: start_lng, dtype: float64"
144,13154,"330    Sheffield Ave & Kingsbury St
Name: start_station_name, dtype: object","330    41.910522
Name: start_lat, dtype: float64","330   -87.653106
Name: start_lng, dtype: float64"
145,KA1503000069,"335    Dorchester Ave & 49th St
Name: start_station_name, dtype: object","335    41.805772
Name: start_lat, dtype: float64","335   -87.592464
Name: start_lng, dtype: float64"
146,13085,"339    Kedzie Ave & Milwaukee Ave
Name: start_station_name, dtype: object","339    41.929567
Name: start_lat, dtype: float64","339   -87.707857
Name: start_lng, dtype: float64"
147,TA1305000034,"342    Honore St & Division St
Name: start_station_name, dtype: object","342    41.903119
Name: start_lat, dtype: float64","342   -87.673935
Name: start_lng, dtype: float64"
148,TA1309000023,"345    Sheffield Ave & Wrightwood Ave
Name: start_station_name, dtype: object","345    41.928712
Name: start_lat, dtype: float64","345   -87.653833
Name: start_lng, dtype: float64"
149,13216,"346    State St & 33rd St
Name: start_station_name, dtype: object","346    41.834734
Name: start_lat, dtype: float64","346   -87.625813
Name: start_lng, dtype: float64"
